UNH ID #,Sample Name,Collection Date,Collection Time,Project,Sub_Project,Sub_ProjectA,NPOC (mg C/L),TDN (mg N/L),DON,NO3_Final,NO3_Status,NO3_Cd,NH4 (ug N/L),NH4_IC,Cation Run Date,Cl (mg Cl/L),NO3 (mg N/L),SO4 (mg S/L),Na (mg Na/L),K (mg K/L),Mg (mg Mg/L),Ca (mg Ca/L),PO4 (ug P/L),PO4 (ugP/L),SiO2 (mg SiO2/L),WRRC sample info.pH,WRRC sample info.Cond,Spec_Cond,DO_Conc,DO%,Temperature,DTWT,Volume,Field Notes,Lab_Notes,Sample Type,Logger,WRRC Benchtop pH.pH,Closed Cell pH,Conductivity (uS/cm),WRRC Oxalate.Oxalate,Acetate (mg/L),Formate (mg/L),Oxalate (mg/L),Year,Start_Date_Time,BatchID
41193,ppt3Epp,30-Dec-03,3:30:00 PM,Lamprey,Weekly,,0.69,0.42,-0.04,0.28,good,,185.32,,28-Apr-04,2.19,0.28,0.73,1.28,0.04,0.19,0.26,8.15,,0.02,,,,,,,,503.5,,,Precipitation,Michelle Daley,,,,,,,,2003,,
41194,ppt4Ray,30-Dec-03,4:00:00 PM,Lamprey,Weekly,,0.79,0.45,-0.05,0.34,good,,155.90,,14-Apr-04,2.94,0.34,0.91,1.83,0.00,0.43,0.07,5.34,,0.06,,,,,,,,586.5,,Delete K Mg?,Precipitation,Michelle Daley,,,,,,,,2003,,
41195,ppt5Pawt,30-Dec-03,4:15:00 PM,Lamprey,Weekly,,0.70,0.36,-0.02,0.26,good,,123.05,,28-Apr-04,1.85,0.26,0.66,1.35,0.07,0.22,0.10,4.69,,0.02,,,,,,,,655,,Cond Lerr,Precipitation,Michelle Daley,,,,,,,,2003,,
41197,ppt1Thomp,06-Jan-04,10:30:00 AM,Lamprey,Wet Deposition,,1.23,0.89,0.28,0.45,good,,169.31,,28-Apr-04,0.58,0.45,0.51,0.40,0.09,0.08,0.08,4.32,,0.02,,,,,,,,644.5,,,Precipitation,Michelle Daley,,,,,,,,2004,,
41198,ppt2Lee,06-Jan-04,10:45:00 AM,Lamprey,Weekly,,1.37,3.36,1.35,0.69,good,,1317.99,,28-Apr-04,0.88,0.69,1.00,2.07,0.00,0.10,0.13,5.06,,0.05,,,,,,,,848.5,,,Precipitation,Michelle Daley,,,,,,,,2004,,
41199,ppt3Epp,06-Jan-04,11:30:00 AM,Lamprey,Weekly,,1.06,1.05,0.37,0.49,good,,188.96,,18-Apr-06,0.63,0.49,0.87,0.34,0.03,0.04,0.12,6.55,,0.01,,,,,,,,1108.5,,,Precipitation,Michelle Daley,,,,,,,,2004,,
41200,ppt4Ray,06-Jan-04,11:55:00 AM,Lamprey,Weekly,,1.30,1.14,0.40,0.54,good,,197.05,,28-Apr-04,1.15,0.54,0.75,0.72,0.00,0.08,0.13,9.97,,0.01,,,,,,,,1094,bucket was at slight angle,,Precipitation,Michelle Daley,,,,,,,,2004,,
41201,ppt5Pawt,06-Jan-04,12:30:00 PM,Lamprey,Weekly,,1.39,1.08,0.33,0.52,good,,236.68,,14-Apr-04,0.50,0.52,0.74,0.32,0.00,0.00,0.00,4.27,,0.01,,,,,,,,1033,,,Precipitation,Michelle Daley,,,,,,,,2004,,
41289,ppt1Thomp,13-Jan-04,11:15:00 AM,Lamprey,Wet Deposition,,0.96,0.85,0.16,0.53,good,0.53,160.16,,26-Apr-04,0.94,,0.00,0.42,0.00,0.04,0.09,0.00,,0.09,,,,,,,,164,,,Precipitation,Rachel Skokan,,,,,,,,2004,,
41290,ppt2Lee,13-Jan-04,12:00:00 PM,Lamprey,Weekly,,1.02,3.14,0.99,1.10,good,,1053.27,,28-Apr-04,2.37,1.10,0.38,2.27,0.00,0.08,0.20,2.99,,0.02,,,,,,,,160,,,Precipitation,Rachel Skokan,,,,,,,,2004,,
41291,ppt3Epp,13-Jan-04,1:45:00 PM,Lamprey,Weekly,,0.90,1.39,0.49,0.70,good,,196.04,,28-Apr-04,1.63,0.70,0.26,1.14,0.10,0.09,0.21,0.66,,0.04,,,,,,,,218.5,,,Precipitation,Rachel Skokan,,,,,,,,2004,,
41292,ppt4Ray,13-Jan-04,3:15:00 PM,Lamprey,Weekly,,1.14,1.51,0.52,0.73,good,,253.32,,28-Apr-04,3.68,0.73,0.38,2.48,0.00,0.08,0.21,7.06,,0.05,,,,,,,,278,,,Precipitation,Rachel Skokan,,,,,,,,2004,,
41293,ppt5Pawt,13-Jan-04,4:15:00 PM,Lamprey,Weekly,,0.99,1.35,0.35,0.74,good,,270.76,,14-Apr-04,1.39,0.74,0.40,0.99,0.00,0.00,0.11,3.24,,0.07,,,,,,,,288.5,,,Precipitation,Rachel Skokan,,,,,,,,2004,,
41361,ppt1Thomp,20-Jan-04,11:45:00 AM,Lamprey,Wet Deposition,,,,,,2 values,,,,,,,,,,,,,,0.06,,,,,,,,35,not quite 30 mls sample,,Precipitation,Rachel Skokan,,,,,,,,2004,,
41362,ppt3Epp,20-Jan-04,2:00:00 PM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,,bucket knocked off pedestal,,Precipitation,Rachel Skokan,,,,,,,,2004,,
41485,ppt1Thomp,10-Feb-04,9:45:00 AM,Lamprey,Wet Deposition,,0.73,0.13,0.03,0.07,good,,31.38,,28-Apr-04,1.02,0.07,0.23,0.45,0.00,0.11,0.10,0.00,,0.10,,,,,,,,2283,,,Precipitation,Rachel Skokan,,,,,,,,2004,,
41486,ppt2Lee,10-Feb-04,11:30:00 AM,Lamprey,Weekly,,0.47,0.77,-0.01,0.22,good,,564.16,,09-Aug-06,1.49,0.22,0.60,0.58,0.01,0.06,0.07,11.67,,0.04,,,,,,,,1747,,,Precipitation,Rachel Skokan,,,,,,,,2004,,
41487,ppt3Epp,10-Feb-04,12:00:00 PM,Lamprey,Weekly,,0.39,0.22,0.05,0.12,good,,54.04,,09-Aug-06,1.03,0.12,0.40,0.40,0.01,0.04,0.06,-0.27,,0.06,,,,,,,,1844,,,Precipitation,Rachel Skokan,,,,,,,,2004,,
41488,ppt4Ray,10-Feb-04,1:30:00 PM,Lamprey,Weekly,,0.52,0.30,0.02,0.22,good,,58.13,,28-Apr-04,0.97,0.22,0.49,0.49,0.00,0.08,0.08,3.76,,0.03,,,,,,,,1776.5,,,Precipitation,Rachel Skokan,,,,,,,,2004,,
41489,ppt5Pawt,10-Feb-04,3:00:00 PM,Lamprey,Weekly,,0.43,0.20,0.00,0.16,good,,44.90,,26-Apr-04,0.59,0.16,0.31,0.19,0.00,0.05,0.08,11.47,,0.25,,,,,,,,1937,,,Precipitation,Rachel Skokan,,,,,,,,2004,,
41490,ppt6North,10-Feb-04,4:00:00 PM,Lamprey,Weekly,,0.39,0.27,-0.02,0.20,good,,87.03,,26-Apr-04,2.25,0.20,0.35,1.34,0.00,0.05,0.11,8.04,,0.03,,,,,,,,1784,,,Precipitation,Rachel Skokan,,,,,,,,2004,,
41767,ppt1Thomp,24-Feb-04,9:00:00 AM,Lamprey,Wet Deposition,,1.69,1.54,-0.02,0.96,good,,605.96,,,4.19,0.96,1.66,2.49,0.20,,,17.86,,0.06,,,,,,,,142.5,,Deleted Mg (0.33) and Ca (0.92) still seems high after RR,precipitation,Rachel Skokan,,,,,,,,2004,,
41768,ppt2Lee,24-Feb-04,10:30:00 AM,Lamprey,Weekly,,,,,,2 values,,,,18-Apr-06,12.86,,,,0.82,,,,,0.18,,,,,,,,108,,Deleted NPOC (6.20) TDN (12.97) NH4 (6615) PO4 (64) NO3 (4.55) SO4 (6.25) Na (7.16) Mg (0.91) Ca (4.15),precipitation,Rachel Skokan,,,,,,,,2004,,
41769,ppt4Ray,24-Feb-04,12:45:00 PM,Lamprey,Weekly,,5.64,5.46,0.41,3.43,good,,1612.59,,18-Apr-06,10.46,3.43,,,0.53,,,,,,,,,,,,,130,,Deleted PO4 (124) NO3 (3.43) SO4 (4.43) Na (7.04) Mg (0.89) Ca (4.65) SiO2 (0.58),precipitation,Rachel Skokan,,,,,,,,2004,,
41770,ppt5Pawt,24-Feb-04,1:30:00 PM,Lamprey,Weekly,,3.14,2.53,-0.07,1.63,good,,963.31,,18-Apr-06,3.62,1.63,2.26,2.48,0.25,0.44,2.11,51.43,,0.18,,,,,,,,236.5,,,precipitation,Rachel Skokan,,,,,,,,2004,,
41969,ppt1thomp,09-Mar-04,8:15:00 AM,Lamprey,Wet Deposition,,1.15,0.75,-0.04,0.52,good,,260.62,,18-Apr-06,1.19,0.52,0.91,1.37,0.34,0.07,0.23,0.00,,-0.01,,,,,,,,499.5,light snow all day,,precipitation,Rachel Skokan,,,,,,,,2004,,
41970,ppt2lee,09-Mar-04,10:00:00 AM,Lamprey,Weekly,,2.05,4.05,,0.54,good,,,,28-Apr-04,1.14,0.54,0.86,0.94,0.06,0.12,0.22,13.71,,0.07,,,,,,,,445,light snow all day,Deleted NH4 (3108),precipitation,Rachel Skokan,,,,,,,,2004,,
41971,ppt3epp,09-Mar-04,11:15:00 AM,Lamprey,Weekly,,1.33,1.21,0.13,0.68,good,,397.88,,18-Apr-06,2.22,0.68,1.32,1.40,0.10,0.17,0.28,10.56,,0.04,,,,,,,,603,"stoneflies in collector, light snow all day",,precipitation,Rachel Skokan,,,,,,,,2004,,
41972,ppt4ray,09-Mar-04,12:30:00 PM,Lamprey,Weekly,,1.39,1.20,0.04,0.71,good,,450.90,,26-Apr-04,2.35,0.71,1.20,1.71,0.12,0.17,0.29,14.43,,0.07,,,,,,,,613,light snow all day,,precipitation,Rachel Skokan,,,,,,,,2004,,
41973,ppt5pawt,09-Mar-04,1:15:00 PM,Lamprey,Weekly,,1.28,1.23,-0.08,0.83,good,,478.08,,12-Apr-04,1.77,0.83,1.21,0.42,0.00,0.00,0.22,2.11,,0.04,,,,,,,,710,light snow all day,,precipitation,Rachel Skokan,,,,,,,,2004,,
41974,ppt6north,09-Mar-04,2:30:00 PM,Lamprey,Weekly,,1.87,2.26,0.16,1.35,2 values,1.39,747.05,,12-Apr-04,2.18,1.35,2.05,1.03,0.00,0.00,0.08,20.63,,0.04,,,,,,,,485,light snow all day,,precipitation,Rachel Skokan,,,,,,,,2004,,
42085,ppt1thomp,16-Mar-04,10:00:00 AM,Lamprey,Wet Deposition,,3.19,2.83,,,2 values,,838.36,,18-Apr-06,,,1.24,,0.63,0.14,0.52,13.64,,0.07,,,,,,,,75.5,,"Deleted NO3N (2.05), Cl (4.68), Na (3.73), and K (0.6) seemed high",precipitation,Michelle Daley,,,,0.06,,,,2004,,
42086,ppt2lee,16-Mar-04,10:30:00 AM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,1.5,not enough vol to filter,,precipitation,Michelle Daley,,,,,,,,2004,,
42087,ppt3epp,16-Mar-04,11:45:00 AM,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,,Shot shun shells in collector,,precipitation,Michelle Daley,,,,,,,,2004,,
42088,ppt4ray,16-Mar-04,1:15:00 PM,Lamprey,Weekly,,,,,,2 values,,1.56,,,,,,,,,,,,,,,,,,,,12.5,dirt in bucket,Deleted NPOC (12.46) and TDN (16.91) did not filter between precip samples (limited vol),precipitation,Michelle Daley,,,,,,,,2004,,
42089,ppt5pawt,16-Mar-04,2:15:00 PM,Lamprey,Weekly,,,,,,2 values,,1410.48,,18-Apr-06,6.40,,2.71,5.41,0.40,0.32,1.37,39.93,,0.08,,,,,,,,67.5,debris in bucket,Deleted NPOC (6.67) TDN (5.93) NO3 (4.11) did not filter between precip samples (limited vol),precipitation,Michelle Daley,,,,,,,,2004,,
42090,ppt6north,16-Mar-04,3:00:00 PM,Lamprey,Weekly,,3.14,3.67,,,2 values,,1308.29,,18-Apr-06,7.63,,2.17,6.10,0.21,0.22,1.12,36.24,,,,,,,,,,100,"debris in bucket, snowing",Deleted NO3 (2.54) SiO2 (0.41),precipitation,Michelle Daley,,,,,,,,2004,,
42198,ppt1thomp,23-Mar-04,8:30:00 AM,Lamprey,Wet Deposition,,0.62,0.71,0.00,0.56,good,,146.91,,28-Apr-04,0.91,0.56,0.42,0.37,0.00,0.08,0.07,0.00,,-0.03,,,,,,,,1304,,,precipitation,Michelle Daley,,,,,,,,2004,,
42211,ppt2lee,23-Mar-04,11:00:00 AM,Lamprey,Weekly,,1.03,2.02,0.09,0.91,good,,1008.83,,28-Apr-04,1.24,0.91,0.75,2.03,0.07,0.11,0.16,9.89,,-0.02,,,,,,,,1034,,,precipitation,Rachel Skokan,,,,,,,,2004,,
42212,ppt3epp,23-Mar-04,11:45:00 AM,Lamprey,Weekly,,0.64,0.73,-0.01,0.56,good,,182.26,,26-Apr-04,0.97,0.56,0.52,0.84,0.00,0.07,0.13,6.71,,0.01,,,,,,,,1570.5,,,precipitation,Rachel Skokan,,,,,,,,2004,,
42213,ppt4ray,23-Mar-04,1:45:00 PM,Lamprey,Weekly,,0.89,0.82,0.00,0.56,good,,262.36,,03-May-04,1.24,0.56,0.51,0.88,0.18,0.10,0.23,16.96,,-0.01,,,,,,,,1356.5,stoneflies in collector,,precipitation,Rachel Skokan,,,,,,,,2004,,
42214,ppt5pawt,23-Mar-04,2:30:00 PM,Lamprey,Weekly,,0.64,0.73,-0.02,0.50,good,,251.85,,03-May-04,0.73,0.50,0.44,0.59,0.21,0.10,0.18,4.55,,-0.03,,,,,,,,1627,,,precipitation,Rachel Skokan,,,,,,,,2004,,
42215,ppt6north,23-Mar-04,3:30:00 PM,Lamprey,Weekly,,0.78,0.88,-0.09,0.59,good,,383.30,,28-Apr-04,1.26,0.59,0.53,1.21,0.18,0.09,0.12,0.20,,-0.02,,,,,,,,1380,,,precipitation,Rachel Skokan,,,,,,,,2004,,
42298,ppt1thomp,30-Mar-04,8:45:00 AM,Lamprey,Wet Deposition,,1.39,1.18,0.02,0.78,good,,383.79,,28-Apr-04,0.49,0.78,0.77,0.83,0.00,0.09,0.14,8.18,,-0.01,,,,,,,,806.5,,,precipitation,Rachel Skokan,,,,,,,,2004,,
42299,ppt2lee,30-Mar-04,10:45:00 AM,Lamprey,Weekly,,,,,2.03,good,,,,26-Apr-04,1.52,2.03,2.63,,0.51,0.16,0.73,,,0.09,,,,,,,,462,,Deleted NPOC (16.3) TDN (6.92) NH4 (4332) PO4 (130) Na (7.31),precipitation,Rachel Skokan,,,,,,,,2004,,
42300,ppt3epp,30-Mar-04,12:15:00 PM,Lamprey,Weekly,,1.81,1.98,-0.11,1.36,good,,724.91,,26-Apr-04,1.27,1.36,1.59,1.56,0.16,0.10,0.39,8.73,,0.04,,,,,,,,757.5,,,precipitation,Rachel Skokan,,,,,,,,2004,,
42301,ppt4ray,30-Mar-04,1:45:00 PM,Lamprey,Weekly,,,,,1.87,good,,,,21-Apr-04,2.95,1.87,,,,0.47,0.74,,,,,,,,,,,590.5,debris,Deleted NPOC (22.74) TDN (15.55) NH4 (4628) PO4 (1536) SO4 (3.45) Na (7.36) Mg (5.84) SiO2 (3.08),precipitation,Rachel Skokan,,,,,,,,2004,,
42302,ppt5pawt,30-Mar-04,2:45:00 PM,Lamprey,Weekly,,1.97,2.02,-0.02,1.28,good,,759.35,,09-Aug-06,1.20,1.28,1.79,0.66,0.16,0.06,0.22,7.16,,-0.03,,,,,,,,687.5,,,precipitation,Rachel Skokan,,,,,,,,2004,,
42303,ppt6north,30-Mar-04,3:30:00 PM,Lamprey,Weekly,,2.28,2.12,-0.10,1.41,good,,807.63,,09-Aug-06,4.85,1.41,1.89,2.49,0.10,0.06,0.27,16.59,,0.04,,,,,,,,524,,,precipitation,Rachel Skokan,,,,,,,,2004,,
42314,ppt4ray,03-Apr-04,11:30:00 AM,Lamprey,Weekly,,0.51,0.25,0.18,0.03,good,0.03,33.82,,26-Apr-04,3.19,,0.00,0.36,0.15,0.05,0.09,19.70,,-0.04,,,,,,,,9613,storm event,,precipitation,Rachel Skokan,,,,,,,,2004,,
42328,ppt1thomp,06-Apr-04,9:00:00 AM,Lamprey,Wet Deposition,,0.51,0.10,0.04,0.05,good,,21.63,,28-Apr-04,0.79,0.05,0.20,0.40,0.12,0.14,0.00,0.00,,-0.02,,,,,,,,8519.5,,,precipitation,Rachel Skokan,,,,,,,,2004,,
42329,ppt2lee,06-Apr-04,9:30:00 AM,Lamprey,Weekly,,0.41,0.51,-0.03,0.05,good,,489.61,,28-Apr-04,0.80,0.05,0.26,0.78,0.07,0.00,0.00,-3.73,,0.04,,,,,,,,8913,insects in collector,,precipitation,Rachel Skokan,,,,,,,,2004,,
42330,ppt3epp,06-Apr-04,11:30:00 AM,Lamprey,Weekly,,0.29,0.12,0.03,0.04,good,,47.64,,28-Apr-04,0.83,0.04,0.24,0.52,0.08,0.09,0.06,4.24,,0.01,,,,,,,,9527.5,,,precipitation,Rachel Skokan,,,,,,,,2004,,
42331,ppt4ray,06-Apr-04,12:30:00 PM,Lamprey,Weekly,,0.91,0.47,0.04,0.26,good,,169.03,,28-Apr-04,0.44,0.26,0.61,0.40,0.10,0.06,0.08,3.89,,0.02,,,,,,,,373,,,precipitation,Rachel Skokan,,,,,,,,2004,,
42332,ppt5pawt,06-Apr-04,1:30:00 PM,Lamprey,Weekly,,0.22,0.08,0.01,0.04,good,,32.99,,26-Apr-04,0.77,0.04,0.24,0.32,0.14,0.06,0.06,-1.82,,-0.04,,,,,,,,9940.5,,,precipitation,Rachel Skokan,,,,,,,,2004,,
42333,ppt6north,06-Apr-04,2:30:00 PM,Lamprey,Weekly,,0.29,0.13,0.03,0.04,good,,61.27,,28-Apr-04,0.79,0.04,0.14,0.53,0.16,0.09,0.07,0.95,,-0.01,,,,,,,,8608,,,precipitation,Rachel Skokan,,,,,,,,2004,,
42525,ppt1thomp,13-Apr-04,9:15:00 AM,Lamprey,Wet Deposition,,0.79,0.37,0.00,0.15,good,,227.45,,26-Apr-04,0.50,0.15,0.44,0.46,0.00,0.05,0.10,0.55,,0.02,,,,,,,,321.5,rain during collection,,precipitation,Rachel Skokan,,,,,,,,2004,,
42526,ppt2lee,13-Apr-04,9:45:00 AM,Lamprey,Weekly,,1.66,1.83,0.11,0.28,good,,1452.03,,26-Apr-04,0.69,0.28,0.99,2.61,0.11,0.07,0.39,30.36,,0.04,,,,,,,,394,rain during collection,,precipitation,Rachel Skokan,,,,,,,,2004,,
42527,ppt3epp,13-Apr-04,10:45:00 AM,Lamprey,Weekly,,1.28,0.58,0.06,0.21,good,,310.09,,26-Apr-04,2.88,0.21,0.58,0.80,0.21,0.09,0.36,13.39,,0.03,,,,,,,,524.5,rain during collection,,precipitation,Rachel Skokan,,,,,,,,2004,,
42528,ppt4ray,13-Apr-04,12:30:00 PM,Lamprey,Weekly,,1.17,0.55,0.03,0.25,good,0.25,274.50,,26-Apr-04,0.88,,1.63,0.60,0.14,0.07,0.22,15.03,,0.02,,,,,,,,575,rain during collection,,precipitation,Rachel Skokan,,,,,,,,2004,,
42529,ppt5pawt,13-Apr-04,,Lamprey,Weekly,,,,,,2 values,,,,,,,,,,,,,,,,,,,,,,,road impassible,,precipitation,,,,,,,,,2004,,
42530,ppt6north,13-Apr-04,2:00:00 PM,Lamprey,Weekly,,1.03,0.44,0.01,0.18,good,,244.92,,28-Apr-04,0.65,0.18,0.54,0.50,0.00,0.10,0.19,5.89,,0.03,,,,,,,,586.5,rain during collection,,precipitation,Rachel Skokan,,,,,,,,2004,,
42558,ppt5Pawt,19-Apr-04,2:15:00 PM,Lamprey,Weekly,,1.02,0.49,0.03,0.24,good,,213.42,,18-Apr-06,0.29,0.24,0.61,0.19,0.11,0.04,0.15,19.78,,-0.01,,,,,,,,2759.5,changed bucket to funnel,,precipitation,Rachel  Skokan,,,,,,,,2004,,
42560,ppt3epp,19-Apr-04,11:00:00 AM,Lamprey,Weekly,,2.21,1.03,0.56,0.21,good,,264.45,,,0.66,0.21,0.57,1.24,0.31,0.05,0.20,,,0.11,,,,,,,,2077.5,changed bucket to funnel,Deleted PO4 (128),precipitation,Rachel  Skokan,,,,,,,,2004,,
42561,ppt4ray,19-Apr-04,1:30:00 PM,Lamprey,Weekly,,1.15,0.47,0.06,0.27,good,,142.58,,18-Apr-06,0.37,0.27,0.55,0.71,0.25,0.03,0.16,18.75,,0.04,,,,,,,,,changed bucket to funnel; no vol. recorded,,precipitation,Rachel  Skokan,,,,,,,,2004,,
42563,ppt6north,19-Apr-04,4:00:00 PM,Lamprey,Weekly,,1.09,0.46,0.03,0.25,good,,180.62,,18-Apr-06,0.25,0.25,0.59,0.17,0.10,0.03,0.14,14.43,,0.00,,,,,,,,2636.6,changed bucket to funnel,,precipitation,Rachel  Skokan,,,,,,,,2004,,
