UNHID#,Unique_Name,Site_TF_AI,Site_TF,SampleType_Final,Project,Sub_Project,Sub_ProjectA,NPOCf_value,NPOCf,NPOCf_notes,TDNf_value,TDNf,TDNf_notes,DONf_value,DONf,DONf_notes,NO3_Comb,NO3_Combf_value,NO3_Combf,NO3_Combf_notes,NH4ugNL_Comb,NH4_Combf_value,NH4_Combf,NH4_Combf_notes,PO4_Lachatf_value,PO4ugPL_Comb,PO4_Combf_value,PO4_Combf,PO4_Combf_notes,SiO2f_value,SiO2f,SiO2f_notes,Clf_value,Clf,Clf_notes,Naf_value,Naf,Naf_Notes,SO4f_value,SO4f,SO4f_notes,Kf_value,Kf,Kf_Notes,Mgf_value,Mgf,Mgf_Notes,Caf_value,Caf,Caf_Notes,pHf_value,pHf,pHf_notes,Condf_value,condf,condf_notes,Spec_Condf_value,Spec_Condf,Spec_Condf_notes,Volumef_value,Volumef,Volumef_notes,WRRCBenchtoppH.pHf_value,WRRCBenchtoppH.pHf,WRRCBenchtoppH.pHf_notes,ClosedCellpHf_value,ClosedCellpHf,ClosedCellpHf_notes,ConductivityuScmf_value,ConductivityuScmf,ConductivityuScmf_notes,WRRCOxalate.Oxalatef_value,OxalatemgLf_value,Oxalate_Comb,Oxalate_Combf_value,Oxalate_Combf,Oxalate_Combf_notes,Acetatef_value,Acetatef,Acetatef_notes,Formatef_value,Formatef,Formatef_notes
41111,ppt4Ray, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.047, ,0, ,31.8357825058067, ,0, , ,4.30883982485553, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41185,ppt1Thomp,TF or AI,TF,Precipitation,Lamprey,Wet Deposition, , ,2, , ,2, , ,2, ,.098089815579849, ,2, ,52.9716317131816, ,2, , ,4.15622956526339, ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41186,ppt2Lee, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.460587279554678, ,0, ,1044.22823216597, ,0, , ,13.4251573041635, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41187,ppt3Epp, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.298, ,0, ,102.997641275475, ,0, , ,9.61942999132467, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41188,ppt4Ray, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.274, ,0, ,82.0293569717312, ,0, , ,11.5218612912321, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41189,ppt5Pawt, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.232, ,0, ,81.9203461611777, ,0, , ,2.53560818557547, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41191,ppt1Thomp,TF or AI,TF,Precipitation,Lamprey,Wet Deposition, , ,2, , ,2, , ,2, ,.0931168996368531, ,2, ,43.6510750582578, ,2, , ,7.13257066496243, ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41192,ppt2Lee, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.403, ,0, ,1805.61884401819, ,0, , ,10.7115506514029, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41193,ppt3Epp, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.275, ,0, ,185.321168186376, ,0, , ,8.15380474867326, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41194,ppt4Ray, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.34, ,0, ,155.901380450858, ,0, , ,5.34243053650058, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41195,ppt5Pawt, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.2605, ,0, ,123.054120295818, ,0, , ,4.68819859691124, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41197,ppt1Thomp,TF or AI,TF,Precipitation,Lamprey,Wet Deposition, , ,2, , ,2, , ,2, ,.445, ,2, ,169.308134935996, ,2, , ,4.32011256062175, ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41198,ppt2Lee, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.692, ,0, ,1317.99173669987, ,0, , ,5.06408954278683, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41199,ppt3Epp, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.490411377605145, ,0, ,188.963199362197, ,0, , ,6.54554049706758, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41200,ppt4Ray, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.5435, ,0, ,197.045638647371, ,0, , ,9.96844161178894, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41201,ppt5Pawt, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.521, ,0, ,236.683025581772, ,0, , ,4.27068744929924, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41289,ppt1Thomp,TF or AI,TF,Precipitation,Lamprey,Wet Deposition, , ,2, , ,2, , ,2, ,.526824759783248, ,2, ,160.159419692557, ,2, , ,0, ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41290,ppt2Lee, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,1.1, ,0, ,1053.26764585708, ,0, , ,2.99127268045989, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41291,ppt3Epp, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.699, ,0, ,196.042570758803, ,0, , ,.66482728005085, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41292,ppt4Ray, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.7325, ,0, ,253.316482051026, ,0, , ,7.05626557089122, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41293,ppt5Pawt, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.737, ,0, ,270.76287611731, ,0, , ,3.23926532222699, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41361,ppt1Thomp,TF or AI,TF,Precipitation,Lamprey,Wet Deposition, , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41362,ppt3Epp, , ,Precipitation,Lamprey,Weekly, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41485,ppt1Thomp,TF or AI,TF,Precipitation,Lamprey,Wet Deposition, , ,2, , ,2, , ,2, ,.067, ,2, ,31.3830570408661, ,2, , ,0, ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41486,ppt2Lee, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.216796933151663, ,0, ,564.159430308649, ,0, , ,11.6740904728507, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41487,ppt3Epp, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.11588441809504, ,0, ,54.0406049619127, ,0, , ,-.266437014319622, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41488,ppt4Ray, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.217, ,0, ,58.1304181873932, ,0, , ,3.76260520242379, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41489,ppt5Pawt, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.156, ,0, ,44.8953286075115, ,0, , ,11.4713955805368, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41490,ppt6North, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.203, ,0, ,87.0343684463691, ,0, , ,8.04170916061249, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41767,ppt1Thomp,TF or AI,TF,Precipitation,Lamprey,Wet Deposition, , ,2, , ,2, , ,2, ,.956, ,2, ,605.961149106143, ,2, , ,17.8646580436807, ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41768,ppt2Lee, , ,Precipitation,Lamprey,Weekly, , , , , , , , , , , , , , , , , , , , , , , , ,0, , ,0, , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41769,ppt4Ray, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,3.42986248859752, ,0, ,1612.58536306493, ,0, , , , , , , , , , ,0, , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41770,ppt5Pawt, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,1.6345350113631, ,0, ,963.30743917598, ,0, , ,51.4312493342341, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41969,ppt1Thomp,TF or AI,TF,Precipitation,Lamprey,Wet Deposition, , ,2, , ,2, , ,2, ,.52410996582424, ,2, ,260.618516653364, ,2, , ,0, ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41970,ppt2Lee, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , , , ,.54, ,0, , , , , , ,13.7068332079174, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41971,ppt3Epp, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.684273422937542, ,0, ,397.878426494245, ,0, , ,10.5603790145197, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41972,ppt4Ray, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.714, ,0, ,450.900072548327, ,0, , ,14.4328299230053, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41973,ppt5Pawt, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.832, ,0, ,478.083315240352, ,0, , ,2.11055925980736, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41974,ppt6North, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,1.35, ,0, ,747.054951318943, ,0, , ,20.6294877125527, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42085,ppt1Thomp,TF or AI,TF,Precipitation,Lamprey,Wet Deposition, , ,2, , ,2, , , , , , , , ,838.36466197918, ,2, , ,13.6425093113209, ,2, , ,2, , , , , , , , ,2, , ,2, , ,2, , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,.0573067090738973, ,2, , , , , , , 
42086,ppt2Lee, , ,Precipitation,Lamprey,Weekly, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42087,ppt3Epp, , ,Precipitation,Lamprey,Weekly, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42088,ppt4Ray, , ,Precipitation,Lamprey,Weekly, , , , , , , , , , , , , , ,1.55553921585392, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42089,ppt5Pawt, , ,Precipitation,Lamprey,Weekly, , , , , , , , , , , , , , ,1410.48124382945, ,0, , ,39.9333067058463, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42090,ppt6North, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , , , , , , , ,1308.29296662684, ,0, , ,36.2393732795298, ,0, , , , , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42198,ppt1Thomp,TF or AI,TF,Precipitation,Lamprey,Wet Deposition, , ,2, , ,2, , ,2, ,.563, ,2, ,146.913708076729, ,2, , ,0, ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42211,ppt2Lee, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.914, ,0, ,1008.82958779549, ,0, , ,9.88525628918494, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42212,ppt3Epp, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.556, ,0, ,182.26079200521, ,0, , ,6.71038654649771, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42213,ppt4Ray, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.556, ,0, ,262.359393052958, ,0, , ,16.9616808709642, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42214,ppt5Pawt, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.503, ,0, ,251.852031339665, ,0, , ,4.55423580787806, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42215,ppt6North, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.588, ,0, ,383.304803741226, ,0, , ,.203145989847606, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42298,ppt1Thomp,TF or AI,TF,Precipitation,Lamprey,Wet Deposition, , ,2, , ,2, , ,2, ,.777, ,2, ,383.788231898602, ,2, , ,8.1767480785755, ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42299,ppt2Lee, , ,Precipitation,Lamprey,Weekly, , , , , , , , , , ,2.027, ,0, , , , , , , , , , , ,0, , ,0, , , , , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42300,ppt3Epp, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,1.361, ,0, ,724.909004482508, ,0, , ,8.73094555995186, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42301,ppt4Ray, , ,Precipitation,Lamprey,Weekly, , , , , , , , , , ,1.872, ,0, , , , , , , , , , , , , , ,0, , , , , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42302,ppt5Pawt, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,1.28128056631584, ,0, ,759.347870987839, ,0, , ,7.15991955182214, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42303,ppt6North, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,1.4087344805169, ,0, ,807.628990470061, ,0, , ,16.5852769100479, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42314,ppt4Ray, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.0344049940808125, ,0, ,33.8181245260687, ,0, , ,19.7043045378778, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42328,ppt1Thomp,TF or AI,TF,Precipitation,Lamprey,Wet Deposition, , ,2, , ,2, , ,2, ,.045, ,2, ,21.6301355810199, ,2, , ,0, ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42329,ppt2Lee, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.048, ,0, ,489.611620473161, ,0, , ,-3.73383990053855, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42330,ppt3Epp, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.043, ,0, ,47.6383782614103, ,0, , ,4.24395890379302, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42331,ppt4Ray, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.261, ,0, ,169.030481301402, ,0, , ,3.89119030931565, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42332,ppt5Pawt, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.044, ,0, ,32.9945814983814, ,0, , ,-1.81926533262409, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42333,ppt6North, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.04, ,0, ,61.2718701499662, ,0, , ,.947168837795606, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42525,ppt1Thomp,TF or AI,TF,Precipitation,Lamprey,Wet Deposition, , ,2, , ,2, , ,2, ,.149, ,2, ,227.452146706383, ,2, , ,.54577447600859, ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42526,ppt2Lee, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.276, ,0, ,1452.03457616498, ,0, , ,30.3617260880113, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42527,ppt3Epp, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.207, ,0, ,310.088938689235, ,0, , ,13.3887497976453, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42528,ppt4Ray, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.247665079010265, ,0, ,274.502441954345, ,0, , ,15.0332453891449, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42529,ppt5Pawt, , ,Precipitation,Lamprey,Weekly, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42530,ppt6North, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.182, ,0, ,244.9225314664, ,0, , ,5.8940956178669, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42558,ppt5Pawt, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.239936918306305, ,0, ,213.416618979838, ,0, , ,19.7765291185719, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
